schemaVersion,recordType,source.name,source.url,collectedAt,content.productName,content.startupName,content.pricingModel,content.extractedBy,content.startupNameRaw
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/tripplanner-ai,2026-08-27T12:22:07Z,Tripplanner,Tripplanner,FREE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/freshchat,2026-08-27T12:22:07Z,Freshchat,Freshchat,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/dubs,2026-08-27T12:22:07Z,Dubs,Dubs,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/marsai,2026-08-27T12:22:07Z,MarsX,MarsX,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/thumbly,2026-08-27T12:22:07Z,Thumbly,Thumbly,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/hirevue,2026-08-27T12:22:08Z,Hirevue,Hirevue,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/fusionos-ai,2026-08-27T12:22:09Z,FusionAds.ai,FusionAds.ai,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/haiper,2026-08-27T12:22:09Z,Haiper,Haiper,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/quizgecko,2026-08-27T12:22:08Z,Quizgecko,Quizgecko,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/magic-studio,2026-08-27T12:22:08Z,Magic Studio,Magic Studio,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/paradox,2026-08-27T12:22:09Z,Paradox,Paradox,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/ollama,2026-08-27T12:22:10Z,Ollama,Ollama,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/ai-flashcard-maker,2026-08-27T12:22:11Z,AI Flashcard Maker by Coursebox,AI Flashcard Maker by Coursebox,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/x-design,2026-08-27T12:22:09Z,X-Design,X-Design,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/runware,2026-08-27T12:22:10Z,Runware,Runware,PAID,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/mumble-note,2026-08-27T12:22:11Z,Mumble Note,Mumble Note,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/vance-video-ai,2026-08-27T12:22:13Z,Vance Video AI,Vance Video AI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/activecampaign-ai,2026-08-27T12:22:11Z,ActiveCampaign AI,ActiveCampaign AI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/smartstudi-sidebar,2026-08-27T12:22:12Z,SmartStudi Sidebar,SmartStudi Sidebar,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/dreamina,2026-08-27T12:22:12Z,Dreamina,Dreamina,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/animoto,2026-08-27T12:22:12Z,Animoto,Animoto,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/pthai,2026-08-27T12:22:12Z,Pth.AI,Pth.AI,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/slazzer,2026-08-27T12:22:13Z,Slazzer,Slazzer,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/mindy,2026-08-27T12:22:14Z,Mindy,Mindy,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/marketing-strategy-generator,2026-08-27T12:22:13Z,Marketing Strategy Generator,Marketing Strategy Generator,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/salesforce-ai,2026-08-27T12:22:14Z,Salesforce AI,Salesforce AI,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/audiosocket,2026-08-27T12:22:14Z,Audiosocket,Audiosocket,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/youtube-summarizer,2026-08-27T12:22:14Z,YouTube Summarizer,YouTube Summarizer,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/chatplayground,2026-08-27T12:22:15Z,ChatPlayground AI,ChatPlayground AI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/mnml-ai,2026-08-27T12:22:15Z,mnml AI,mnml AI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/tektonic-ai,2026-08-27T12:22:15Z,Tektonic AI,Tektonic AI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/conch-video,2026-08-27T12:22:15Z,Conch Video,Conch Video,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/andi,2026-08-27T12:22:16Z,Andi,Andi,PAID,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/customgpt,2026-08-27T12:22:17Z,CustomGPT.ai,CustomGPT.ai,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/stable-audio,2026-08-27T12:22:17Z,Stable Audio,Stable Audio,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/pantera-deals,2026-08-27T12:22:16Z,Pantera Deals,Pantera Deals,PAID,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/housecanary,2026-08-27T12:22:16Z,HouseCanary,HouseCanary,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/recruit-crm,2026-08-27T12:22:17Z,Recruit CRM,Recruit CRM,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/carpl-ai,2026-08-27T12:22:17Z,CARPL.ai,CARPL.ai,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/blog2video,2026-08-27T12:22:18Z,Blog2Video,Blog2Video,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/amazix-kai,2026-08-27T12:22:19Z,KAI,KAI,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/speaktor,2026-08-27T12:22:18Z,Speaktor,Speaktor,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/resume-worded,2026-08-27T12:22:18Z,Resume Worded,Resume Worded,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/pixelmotion,2026-08-27T12:22:19Z,PixelMotion,PixelMotion,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/safebet,2026-08-27T12:22:19Z,Safebet,Safebet,PAID,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/option-alpha,2026-08-27T12:22:20Z,Option Alpha,Option Alpha,PAID,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/personalai,2026-08-27T12:22:20Z,Personal AI,Personal AI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/freed,2026-08-27T12:22:20Z,Freed,Freed,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/castmagic,2026-08-27T12:22:20Z,Castmagic,Castmagic,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/meshcapade,2026-08-27T12:22:21Z,Meshcapade,Meshcapade,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/nxn-labs,2026-08-27T12:29:46Z,NXN Labs,NXN Labs,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/loom,2026-08-27T12:29:46Z,Loom,Loom,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/paperbrain,2026-08-27T12:29:46Z,PaperBrain,PaperBrain,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/atoms,2026-08-27T12:29:46Z,Atoms,Atoms,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/gita-gpt,2026-08-27T12:29:47Z,GitaGPT,GitaGPT,PAID,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/taxgpt,2026-08-27T12:29:47Z,TaxGPT,TaxGPT,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/civils-ai,2026-08-27T12:29:47Z,Civils.ai,Civils.ai,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/talefy,2026-08-27T12:29:47Z,Talefy,Talefy,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/numeric,2026-08-27T12:29:47Z,Numeric,Numeric,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/hypotenuse-ai,2026-08-27T12:29:47Z,Hypotenuse,Hypotenuse,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/hey-internet,2026-08-27T12:29:48Z,Hey Internet,Hey Internet,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/tortus,2026-08-27T12:29:48Z,Tortus,Tortus,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/textero,2026-08-27T12:29:48Z,Textero AI Essay Writer,Textero AI Essay Writer,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/janitor-ai,2026-08-27T12:29:48Z,JanitorAI,JanitorAI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/notta,2026-08-27T12:29:49Z,Notta,Notta,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/uizard,2026-08-27T12:29:49Z,Uizard,Uizard,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/miri,2026-08-27T12:29:50Z,MIRI,MIRI,PAID,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/solvely,2026-08-27T12:29:49Z,Solvely,Solvely,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/luma-ai,2026-08-27T12:29:49Z,Luma AI,Luma AI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/stable-horde,2026-08-27T12:29:54Z,Stable Horde,Stable Horde,FREE,gemini,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/ai-first,2026-08-27T12:29:51Z,AI First,AI First,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/aidoc,2026-08-27T12:29:50Z,Aidoc,Aidoc,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/videoideas-ai,2026-08-27T12:29:51Z,VideoIdeas.ai,VideoIdeas.ai,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/hubspot,2026-08-27T12:29:51Z,HubSpot,HubSpot,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/promptperfect,2026-08-27T12:29:51Z,PromptPerfect,PromptPerfect,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/sightsai,2026-08-27T12:29:51Z,SightsAI,SightsAI,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/eleos-health,2026-08-27T12:29:51Z,Eleos Health,Eleos Health,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/beebee,2026-08-27T12:29:51Z,BeeBee,BeeBee,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/stripo,2026-08-27T12:29:52Z,Stripo,Stripo,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/free-ai-resume-generator,2026-08-27T12:29:57Z,Free AI Resume Generator,Remote People,FREE,gemini,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/hostinger-openclaw,2026-08-27T12:29:52Z,Hostinger,Hostinger,PAID,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/netus-ai,2026-08-27T12:29:52Z,Netus AI,Netus AI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/writesonic,2026-08-27T12:29:53Z,Writesonic,Writesonic,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/lido,2026-08-27T12:29:53Z,Lido,Lido,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/emergent,2026-08-27T12:29:53Z,Emergent,Emergent,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/loora,2026-08-27T12:29:53Z,Loora,Loora,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/mymemo-ai,2026-08-27T12:29:53Z,MyMemo AI,MyMemo AI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/camb-ai,2026-08-27T12:29:54Z,Camb.ai,Camb.ai,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/dr-fone,2026-08-27T12:29:54Z,Dr. Fone,Dr. Fone,PAID,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/manus,2026-08-27T12:29:54Z,Manus,Manus,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/vectorshift,2026-08-27T12:29:54Z,VectorShift,VectorShift,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/otio-ai,2026-08-27T12:29:55Z,Otio AI,Otio AI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/agentx,2026-08-27T12:29:55Z,AgentX,AgentX,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/ipicai,2026-08-27T12:29:55Z,Ipic.ai,Ipic.ai,PAID,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/outread,2026-08-27T12:29:55Z,Outread,Outread,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/looka,2026-08-27T12:29:55Z,Looka,Looka,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/powder,2026-08-27T12:29:55Z,Powder,Powder,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/together-ai,2026-08-27T12:29:56Z,Together AI,Together AI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/eskilled-ai-course-creator,2026-08-27T12:29:56Z,eSkilled AI Course Creator,eSkilled AI Course Creator,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/prophotos,2026-08-27T12:29:56Z,ProPhotos,ProPhotos,PAID,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/post-boost,2026-08-27T12:29:56Z,Post-Boost,Post-Boost,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/browser-cloud,2026-08-27T12:29:56Z,Browser Cloud by TestMu AI,Browser Cloud by TestMu AI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/blizzy-ai,2026-08-27T12:29:57Z,Blizzy AI,Blizzy AI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/motiff,2026-08-27T12:29:57Z,Motiff,Motiff,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/chatbase,2026-08-27T12:29:57Z,Chatbase,Chatbase,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/gobii,2026-08-27T12:29:57Z,Gobii,Gobii,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/hailo,2026-08-27T12:29:57Z,Hailo,Hailo,ENTERPRISE,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/noteithub,2026-08-27T12:29:58Z,Noteithub,Noteithub,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/kane-cli,2026-08-27T12:29:58Z,Kane CLI,Kane CLI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/kea,2026-08-27T12:29:58Z,Kea,Kea,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/wolframalpha,2026-08-27T12:29:58Z,WolframAlpha,WolframAlpha,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/ideogram,2026-08-27T12:29:58Z,Ideogram,Ideogram,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/logoai,2026-08-27T12:29:58Z,LogoAI,LogoAI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/layer-ai,2026-08-27T12:29:59Z,Layer AI,Layer AI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/wisedocs,2026-08-27T12:29:59Z,Wisedocs,Wisedocs,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/marketalerts-ai,2026-08-27T12:29:59Z,MarketAlerts.ai,MarketAlerts.ai,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/leya-ai,2026-08-27T12:29:59Z,Leya AI,Leya AI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/nabla,2026-08-27T12:29:59Z,Nabla,Nabla,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/1forall,2026-08-27T12:30:00Z,1forAll,1forAll,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/pfpmaker,2026-08-27T12:30:00Z,Profile Picture Maker,Profile Picture Maker,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/pykaso-ai,2026-08-27T12:30:00Z,Pykaso AI,Pykaso AI,FREEMIUM,heuristic,
1.0,PRODUCT,Futurepedia,https://www.futurepedia.io/tool/portfoliogpt,2026-08-27T12:30:00Z,PortfolioGPT,PortfolioGPT,FREEMIUM,heuristic,
